ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2005-Feb,4,Vishwa Mohan Sharma,12271,12.80%,Indian National Congress,Nautan,6,12.80
2005-Feb,5,Mahammad Gaji,11411,11.90%,Independent,Nautan,6,11.90
2005-Feb,6,Mohammad Jawed,2931,3.10%,Nationalist Congress Party,Nautan,6,3.10
2005-Feb,7,Ran Vijay Shahi,2379,2.50%,Independent,Nautan,6,2.50
2005-Feb,8,Sudama Baitha,1538,1.60%,Independent,Nautan,6,1.60
2005-Feb,9,Dinesh Sah,1514,1.60%,Independent,Nautan,6,1.60
2005-Feb,10,Ajay Yadav,1269,1.30%,Independent,Nautan,6,1.30
2005-Feb,11,Vijay Kumar,1092,1.10%,Independent,Nautan,6,1.10
2005-Feb,1,Satish Chandra Dubey,27642,31.60%,Bharatiya Janta Party,Chanpatia,7,31.60
2005-Feb,2,Sharfuddin Shekh,11426,13.10%,Samajwadi Janata Party (RASHTRIYA),Chanpatia,7,13.10
2005-Feb,3,Bharat Rai,9441,10.80%,Indian National Congress,Chanpatia,7,10.80
2005-Feb,4,Krishna Kumar Mishra,6868,7.90%,Rashtriya Janata Dal,Chanpatia,7,7.90
2005-Feb,5,Pramod Kumar Singh,6801,7.80%,Bahujan Samaj Party,Chanpatia,7,7.80
2005-Feb,6,Basant Prasad Singh,5986,6.90%,Samajwadi Party,Chanpatia,7,6.90
2005-Feb,7,Vishwanath Prasad Kushwaha,4949,5.70%,Independent,Chanpatia,7,5.70
2005-Feb,8,Daroga Prasad Gupta,3083,3.50%,Samata Party,Chanpatia,7,3.50
2005-Feb,9,Moti Sah,2051,2.40%,Independent,Chanpatia,7,2.40
2005-Feb,10,Chhote Lal Prasad,1763,2.00%,Independent,Chanpatia,7,2.00
2005-Feb,11,Ravi Lal Kumar,1283,1.50%,Independent,Chanpatia,7,1.50
2005-Feb,12,Mahammad Jiyauddin,1201,1.40%,Nationalist Congress Party,Chanpatia,7,1.40
2005-Feb,13,Rajesh Majhi,1124,1.30%,Independent,Chanpatia,7,1.30
2005-Feb,14,Bipin Tiwari,934,1.10%,Jai Jawan Jai Kisan Mazdoor Congress,Chanpatia,7,1.10
2005-Feb,15,Jatashankar Ram,778,0.90%,Independent,Chanpatia,7,0.90
2005-Feb,16,Krishna Kumar Ram,652,0.80%,Independent,Chanpatia,7,0.80
2005-Feb,17,Shiv Kumar Sharma,553,0.60%,Independent,Chanpatia,7,0.60
2005-Feb,18,Nandlalram,497,0.60%,Independent,Chanpatia,7,0.60
2005-Feb,19,Vrijkishore Vaitha,399,0.50%,Independent,Chanpatia,7,0.50
2005-Feb,1,Renu Devi,48559,40.60%,Bharatiya Janta Party,Bettiah,8,40.60
2005-Feb,2,Shamim Akhtar,37102,31.00%,Independent,Bettiah,8,31.00
2005-Feb,3,Krishna Kumar Bind,9799,8.20%,Bahujan Samaj Party,Bettiah,8,8.20
2005-Feb,4,Birbal Yadav,8933,7.50%,Samajwadi Party,Bettiah,8,7.50
2005-Feb,5,Dr.Sanjay Jaysawal,6979,5.80%,Rashtriya Janata Dal,Bettiah,8,5.80
2005-Feb,6,Md. Soaib,1809,1.50%,Independent,Bettiah,8,1.50
2005-Feb,7,Aditya Ranjan Singh,1057,0.90%,Indian Justice Party,Bettiah,8,0.90
2005-Feb,8,Rajkumar Thakur,958,0.80%,Independent,Bettiah,8,0.80
2005-Feb,9,Shahabuddin Mohamad,851,0.70%,Independent,Bettiah,8,0.70
2005-Feb,10,Ramdev Mahto,837,0.70%,Lok Dal,Bettiah,8,0.70
2005-Feb,11,Navendu Chaturvedi,744,0.60%,Nationalist Congress Party,Bettiah,8,0.60
2005-Feb,12,Abdul Kaish,693,0.60%,Independent,Bettiah,8,0.60
2005-Feb,13,Dayanand Kumar Verma,642,0.50%,Independent,Bettiah,8,0.50
2005-Feb,14,Afsar Alam,588,0.50%,Independent,Bettiah,8,0.50
2005-Feb,1,Vaidyanath Prasad Mahto,29252,29.20%,Janata Dal (United),Sikta,9,29.20
2005-Feb,2,Amar Yadav,20910,20.90%,Rashtriya Janata Dal,Sikta,9,20.90
2005-Feb,3,Narayan Prasad,10889,10.90%,Bahujan Samaj Party,Sikta,9,10.90
2005-Feb,4,Rameshwar Prasad,9651,9.60%,Indian National Congress,Sikta,9,9.60
2005-Feb,5,Mohammad Mamoon,9284,9.30%,Independent,Sikta,9,9.30
2005-Feb,6,Bandhu Nath Dubey,8074,8.10%,Independent,Sikta,9,8.10
2005-Feb,7,Raja Choudhary,2330,2.30%,Independent,Sikta,9,2.30
2005-Feb,8,Ramchandra Sahni,1866,1.90%,Independent,Sikta,9,1.90
2005-Feb,9,Sikandar Ram,1819,1.80%,Independent,Sikta,9,1.80
2005-Feb,10,Yamuna Choudhary,1420,1.40%,Samajwadi Party,Sikta,9,1.40
2005-Feb,11,Prakash Prasad,1255,1.30%,Independent,Sikta,9,1.30
2005-Feb,12,Madhu Devi,996,1.00%,Independent,Sikta,9,1.00
2005-Feb,13,Shankar Choudhary,950,1.00%,Indian Justice Party,Sikta,9,1.00
2005-Feb,14,Uday Chandra Jha,706,0.70%,Independent,Sikta,9,0.70
2005-Feb,15,Ramakant Prasad,692,0.70%,Independent,Sikta,9,0.70
2005-Feb,1,Dr. Ajay Kumar Singh,23640,23.30%,Bharatiya Janta Party,Raxaul,10,23.30
2005-Feb,2,Rajnandan Rai,20814,20.60%,Independent,Raxaul,10,20.60
2005-Feb,3,Sagir Ahamad,16487,16.30%,Indian National Congress,Raxaul,10,16.30
2005-Feb,4,Arjun Bharatiya,9616,9.50%,Nationalist Congress Party,Raxaul,10,9.50
2005-Feb,5,Suresh Prasad,9075,9.00%,Samajwadi Party,Raxaul,10,9.00
2005-Feb,6,Mohammad Sabir,8466,8.40%,Rashtriya Janata Dal,Raxaul,10,8.40
2005-Feb,7,Kapil Dew Prasad,3921,3.90%,Independent,Raxaul,10,3.90
2005-Feb,8,Ramashray Prasad,2342,2.30%,Independent,Raxaul,10,2.30
2005-Feb,9,Sheikh Bahaw,1976,2.00%,Bahujan Samaj Party,Raxaul,10,2.00
2005-Feb,10,Jai Prakash Pachauri,1098,1.10%,Samajwadi Janata Party (RASHTRIYA),Raxaul,10,1.10
2005-Feb,11,Samrat Braj Kishore Prasad,1000,1.00%,Independent,Raxaul,10,1.00
2005-Feb,12,Prabhudeo Yadav,761,0.80%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Raxaul,10,0.80
2005-Feb,13,Md.Rashul Miya,674,0.70%,Independent,Raxaul,10,0.70
2005-Feb,14,Anwarul Haque,572,0.60%,Independent,Raxaul,10,0.60
2005-Feb,15,Prabhu Mahato,465,0.50%,Samata Party,Raxaul,10,0.50
2005-Feb,16,Kamod Ram,380,0.40%,Independent,Raxaul,10,0.40
2005-Feb,1,Vijayprasad Gupta,22281,20.10%,Rashtriya Janata Dal,Sugauli,11,20.10
2005-Feb,2,Ramashray Singh,21648,19.60%,Communist Party Of India (MARXIST),Sugauli,11,19.60
2005-Feb,3,Chandra Shekhar Dwivedi,13096,11.80%,Independent,Sugauli,11,11.80
2005-Feb,4,Ram Gopal,11898,10.80%,Bharatiya Janta Party,Sugauli,11,10.80
2005-Feb,5,Ram Chandra Sahani,10931,9.90%,Independent,Sugauli,11,9.90
2005-Feb,6,Sant Kumar Singh,6212,5.60%,Independent,Sugauli,11,5.60
2005-Feb,7,Shekh Manir,5064,4.60%,Independent,Sugauli,11,4.60
2005-Feb,8,Suresh Kumar Mishra,4337,3.90%,Indian National Congress,Sugauli,11,3.90
2005-Feb,9,Nagendra Nath Gupta,3991,3.60%,Independent,Sugauli,11,3.60
2005-Feb,10,Awadhesh Narain,3266,3.00%,Bahujan Samaj Party,Sugauli,11,3.00
2005-Feb,11,Dr. Chandra Lata Jha,2324,2.10%,Independent,Sugauli,11,2.10
2005-Feb,12,Maheshwar Prasad,1409,1.30%,Independent,Sugauli,11,1.30
2005-Feb,13,Rakesh Kumar Jha,1291,1.20%,Nationalist Congress Party,Sugauli,11,1.20
2005-Feb,14,Ram Chandra Thakur,1101,1.00%,Independent,Sugauli,11,1.00
2005-Feb,15,Prabhat Ranjan,712,0.60%,Samajwadi Janata Party (RASHTRIYA),Sugauli,11,0.60
2005-Feb,16,Abdul Quddus,637,0.60%,Samajwadi Party,Sugauli,11,0.60
2005-Feb,17,Sabir Hussain,493,0.50%,Jharkhand Party,Sugauli,11,0.50
2005-Feb,1,Pramod Kumar,46595,38.20%,Bharatiya Janta Party,Narkatia,12,38.20
2005-Feb,2,Rama Devi,33258,27.30%,Rashtriya Janata Dal,Narkatia,12,27.30
2005-Feb,3,Suresh Sahani,29193,23.90%,Lok Jan Shakti Party,Narkatia,12,23.90
2005-Feb,4,Uday Shankar Paswan,1765,1.50%,Independent,Narkatia,12,1.50
2005-Feb,5,Matiullah,1659,1.40%,Bahujan Samaj Party,Narkatia,12,1.40
2005-Feb,6,Satya Prakash Sahani,1656,1.40%,Independent,Narkatia,12,1.40
2005-Feb,7,Ashok Kumar,1508,1.20%,Samajwadi Janata Party (RASHTRIYA),Narkatia,12,1.20
2005-Feb,8,Bhairawdayal Singh,1122,0.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Narkatia,12,0.90
2005-Feb,9,Tribeni Tiwari,1047,0.90%,Independent,Narkatia,12,0.90
2005-Feb,10,Satish Kumar,1008,0.80%,Independent,Narkatia,12,0.80
2005-Feb,11,Yogendra Baitha,822,0.70%,Independent,Narkatia,12,0.70
2005-Feb,12,Priya Ranjan,675,0.60%,Samajwadi Party,Narkatia,12,0.60
2005-Feb,13,Manoj Patel,624,0.50%,Samata Party,Narkatia,12,0.50
2005-Feb,14,Kisun Paswan,621,0.50%,Independent,Narkatia,12,0.50
2005-Feb,15,Parmanand Rai,419,0.30%,Independent,Narkatia,12,0.30
2005-Feb,1,Shyam Bihari Prasad,38025,35.20%,Janata Dal (United),Harsidhi (SC),13,35.20
2005-Feb,2,Rambabu Prasad Yadav,18362,17.00%,Rashtriya Janata Dal,Harsidhi (SC),13,17.00
2005-Feb,3,Virendra Prasad,14517,13.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Harsidhi (SC),13,13.50
2005-Feb,4,Anwar Alam,14061,13.00%,Indian National Congress,Harsidhi (SC),13,13.00
2005-Feb,5,Abdul Hafeez Ansari,4197,3.90%,Independent,Harsidhi (SC),13,3.90
2005-Feb,6,Shatrudhan Singh,2749,2.60%,Independent,Harsidhi (SC),13,2.60
2005-Feb,7,Arbind Prasad Sah,2691,2.50%,Samata Party,Harsidhi (SC),13,2.50
2005-Feb,8,Jai Prakash Narayan Yadav,2490,2.30%,Samajwadi Party,Harsidhi (SC),13,2.30
2005-Feb,9,Ram Pravesh Yadav,1727,1.60%,Independent,Harsidhi (SC),13,1.60
2005-Feb,10,Sanjay Kumar,1494,1.40%,Bahujan Samaj Party,Harsidhi (SC),13,1.40
2005-Feb,11,Krishna Nand Prasad,1286,1.20%,Independent,Harsidhi (SC),13,1.20
2005-Feb,12,Bhagwati Rai,1242,1.20%,Independent,Harsidhi (SC),13,1.20
2005-Feb,13,Ravindra Kumar,1128,1.10%,Independent,Harsidhi (SC),13,1.10
2005-Feb,14,Abbas Miya,719,0.70%,Independent,Harsidhi (SC),13,0.70
2005-Feb,15,Jagarnath Rai,612,0.60%,Apna Dal,Harsidhi (SC),13,0.60
2005-Feb,16,Bijul Singh,534,0.50%,Independent,Harsidhi (SC),13,0.50
2005-Feb,17,Suresh Prasad,506,0.50%,Independent,Harsidhi (SC),13,0.50
2005-Feb,18,Bijali Raut,487,0.50%,Independent,Harsidhi (SC),13,0.50
2005-Feb,19,Yadav Lal Ram,451,0.40%,Independent,Harsidhi (SC),13,0.40
2005-Feb,20,Vidya Nand Prasad,334,0.30%,Independent,Harsidhi (SC),13,0.30
2005-Feb,21,Shatrudhan Prasad Kushwaha,316,0.30%,Independent,Harsidhi (SC),13,0.30
2005-Feb,1,Awaneesh Kumar Singh,32738,32.20%,Bharatiya Janta Party,Govindganj,14,32.20
2005-Feb,2,Nek Mohammad,21469,21.10%,Lok Jan Shakti Party,Govindganj,14,21.10
2005-Feb,3,Manoj Kumar Singh,19830,19.50%,Rashtriya Janata Dal,Govindganj,14,19.50
2005-Feb,4,Bhai Pawan Jaiswal,18732,18.40%,Samajwadi Party,Govindganj,14,18.40
2005-Feb,5,Sitaram Singh,1776,1.80%,Independent,Govindganj,14,1.80
2005-Feb,6,Raghunath Singh,1185,1.20%,Independent,Govindganj,14,1.20
2005-Feb,7,Evtekhar Alam,1030,1.00%,Independent,Govindganj,14,1.00
2005-Feb,8,Jai Lal Das,1010,1.00%,Bahujan Samaj Party,Govindganj,14,1.00
2005-Feb,9,Mohammd Sakeel Ahmad,909,0.90%,Rashtriya Krantikari Samajwadi Party,Govindganj,14,0.90
2005-Feb,10,Raj Kumar Baitha,678,0.70%,Independent,Govindganj,14,0.70
2005-Feb,11,Ashlam Azad,609,0.60%,Independent,Govindganj,14,0.60
2005-Feb,12,Md. Samsujjama,550,0.50%,Independent,Govindganj,14,0.50
2005-Feb,13,Kameshwer Baitha,462,0.50%,Independent,Govindganj,14,0.50
2005-Feb,14,Arvind Kumar Singh,414,0.40%,Independent,Govindganj,14,0.40
2005-Feb,15,Anil Kumar Chaudhary,270,0.30%,Independent,Govindganj,14,0.30
2005-Feb,1,Lakshmi Narayan Prasad Yadav,26644,28.30%,Rashtriya Janata Dal,Kesaria,15,28.30
2005-Feb,2,Nek Mahammad,17528,18.60%,Lok Jan Shakti Party,Kesaria,15,18.60
2005-Feb,3,Munmun Prasad Kushwaha,15041,16.00%,Bahujan Samaj Party,Kesaria,15,16.00
2005-Feb,4,Lal Baboo Prasad,11405,12.10%,Independent,Kesaria,15,12.10
2005-Feb,5,Pramod Kumar Sinha,10141,10.80%,Janata Dal (United),Kesaria,15,10.80
2005-Feb,6,Ram Babu Prasad,4342,4.60%,Independent,Kesaria,15,4.60
2005-Feb,7,Ravi Shankar Kumar,2336,2.50%,Independent,Kesaria,15,2.50
2005-Feb,8,Baboo Lal Baitha,1814,1.90%,Independent,Kesaria,15,1.90
2005-Feb,9,Ragho Sharan Singh,1060,1.10%,Independent,Kesaria,15,1.10
2005-Feb,10,Kailash Prasad Yadav,1011,1.10%,Samajwadi Party,Kesaria,15,1.10
2005-Feb,11,Yado Lal Paswan,747,0.80%,Samata Party,Kesaria,15,0.80
2005-Feb,12,Santu Bhai Sant,706,0.80%,Samajwadi Jan Parishad,Kesaria,15,0.80
2005-Feb,13,Ashok Ram,676,0.70%,Independent,Kesaria,15,0.70
2005-Feb,14,Omprakash Paswan,448,0.50%,Independent,Kesaria,15,0.50
2005-Feb,15,Umesh Kumar,236,0.30%,Independent,Kesaria,15,0.30
2005-Feb,1,Rana Randhir,39777,41.90%,Rashtriya Janata Dal,Kalyanpur,16,41.90
2005-Feb,2,Shivjee Rai,36586,38.60%,Janata Dal (United),Kalyanpur,16,38.60
2005-Feb,3,Lalan Prased Yadav,5261,5.50%,Lok Jan Shakti Party,Kalyanpur,16,5.50
2005-Feb,4,Hari Shankar Paswan,3075,3.20%,Independent,Kalyanpur,16,3.20
2005-Feb,5,Walmiki Singh,2668,2.80%,Independent,Kalyanpur,16,2.80
2005-Feb,6,Sudhir Kumar Singh,2359,2.50%,Bahujan Samaj Party,Kalyanpur,16,2.50
2005-Feb,7,Raj Kishore Mahto,1162,1.20%,Independent,Kalyanpur,16,1.20
2005-Feb,8,Indira Devi,947,1.00%,Independent,Kalyanpur,16,1.00
2005-Feb,9,Ramwali Paswan,759,0.80%,Independent,Kalyanpur,16,0.80
2005-Feb,10,Mohammad Firoj Alam,660,0.70%,Apna Dal,Kalyanpur,16,0.70
2005-Feb,11,Narendra Singh,594,0.60%,Independent,Kalyanpur,16,0.60
2005-Feb,12,Upendra Singh,581,0.60%,Independent,Kalyanpur,16,0.60
2005-Feb,13,Mahavir Ram,458,0.50%,Independent,Kalyanpur,16,0.50
2005-Feb,1,Krishna Nandan Paswan,37758,42.80%,Bharatiya Janta Party,Pipra,17,42.80
2005-Feb,2,Surendra Kumar Chandra Alias Satish Paswan,25895,29.30%,Rashtriya Janata Dal,Pipra,17,29.30
2005-Feb,3,Sahdeo Paswan,14188,16.10%,Lok Jan Shakti Party,Pipra,17,16.10
2005-Feb,4,Nand Lal Paswan,2825,3.20%,Independent,Pipra,17,3.20
2005-Feb,5,"Ganesh Kumar ""akela""",2353,2.70%,Bahujan Samaj Party,Pipra,17,2.70
2005-Feb,6,Ravindra Ram,1760,2.00%,Independent,Pipra,17,2.00
2005-Feb,7,Suresh Kumar Rajak,1452,1.60%,Bajjikanchal Vikas Party,Pipra,17,1.60
2005-Feb,8,Ganesh Paswan,1142,1.30%,Independent,Pipra,17,1.30
2005-Feb,9,Yogendra Baitha,916,1.00%,Independent,Pipra,17,1.00
2005-Feb,1,Obaidullah,26234,30.80%,Janata Dal (United),Madhuban,18,30.80
2005-Feb,2,Rajesh Kumar Raushan Alias Babalu Deo,17286,20.30%,Rashtriya Janata Dal,Madhuban,18,20.30
2005-Feb,3,Yamuna Yadav,14685,17.30%,Independent,Madhuban,18,17.30
2005-Feb,4,Rajkumar Prasad,12642,14.90%,Indian National Congress,Madhuban,18,14.90
2005-Feb,5,Ram Saran Prasad Yadav,2774,3.30%,Samajwadi Party,Madhuban,18,3.30
2005-Feb,6,Chandeshwar Kunwar,2593,3.10%,Bahujan Samaj Party,Madhuban,18,3.10
2005-Feb,7,Surendra Prasad,2551,3.00%,Independent,Madhuban,18,3.00
2005-Feb,8,Abhineet Anand,1960,2.30%,Samata Party,Madhuban,18,2.30
2005-Feb,9,Zaffar Imam Ansari,1882,2.20%,Samajwadi Jan Parishad,Madhuban,18,2.20
2005-Feb,10,M. Ibrahim Sah,1392,1.60%,Independent,Madhuban,18,1.60
2005-Feb,11,Lalbabu Prasad,1102,1.30%,Independent,Madhuban,18,1.30
2005-Feb,1,Awadhesh Prasad Kushwaha,36755,38.70%,Lok Jan Shakti Party,Motihari,19,38.70
2005-Feb,2,Maheshwar Singh,28791,30.30%,Janata Dal (United),Motihari,19,30.30
2005-Feb,3,Satya Sharan Yadav,10410,11.00%,Rashtriya Janata Dal,Motihari,19,11.00
2005-Feb,4,Upendra Rai,10176,10.70%,Bahujan Samaj Party,Motihari,19,10.70
2005-Feb,5,Rupnarayan Ram,2077,2.20%,Independent,Motihari,19,2.20
2005-Feb,6,Arun Pandey,1916,2.00%,Independent,Motihari,19,2.00
2005-Feb,7,Mahendra Sahani,1875,2.00%,Independent,Motihari,19,2.00
2005-Feb,8,Raghvendra Kumar,1718,1.80%,Independent,Motihari,19,1.80
2005-Feb,9,Bachchi Pandey,1295,1.40%,Independent,Motihari,19,1.40
2005-Feb,1,Mina Dviwedi,31325,34.90%,Janata Dal (United),Chiraia,20,34.90
2005-Feb,2,Rajan Tiwari,22947,25.60%,Lok Jan Shakti Party,Chiraia,20,25.60
2005-Feb,3,Shashi Bhushan Rai,20106,22.40%,Rashtriya Janata Dal,Chiraia,20,22.40
2005-Feb,4,Prabhu Ram,2320,2.60%,Independent,Chiraia,20,2.60
2005-Feb,5,Rajeev Ranjan Tiwari,2272,2.50%,Bahujan Samaj Party,Chiraia,20,2.50
2005-Feb,6,Yogendra Pandey,2121,2.40%,Independent,Chiraia,20,2.40
2005-Feb,7,Chandra Kishor Pandey,1805,2.00%,Nationalist Congress Party,Chiraia,20,2.00
2005-Feb,8,Sunil Kumar Azad,1660,1.90%,Independent,Chiraia,20,1.90
2005-Feb,9,Mukesh Kumar Singh,1304,1.50%,Independent,Chiraia,20,1.50
2005-Feb,10,Laxmi Ram,1274,1.40%,Independent,Chiraia,20,1.40
