ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2015,3,Rashmi Verma,39200,25.50%,Independent,Narkatiaganj,3,25.50
2015,4,Rambhaju Mahato,2262,1.50%,Independent,Narkatiaganj,3,1.50
2015,5,Naushad Alam,2124,1.40%,Bahujan Samaj Party,Narkatiaganj,3,1.40
2015,6,Shailesh Mishra,1666,1.10%,Independent,Narkatiaganj,3,1.10
2015,7,Prem Narayan Ojha,1431,0.90%,Shiv Sena,Narkatiaganj,3,0.90
2015,8,Umesh Yadaw,1359,0.90%,Samajwadi Party,Narkatiaganj,3,0.90
2015,9,Bhot Chaturvedi,1076,0.70%,Independent,Narkatiaganj,3,0.70
2015,10,Ramesh Paswan,1072,0.70%,Independent,Narkatiaganj,3,0.70
2015,11,Manish Alam,967,0.60%,Nationalist Congress Party,Narkatiaganj,3,0.60
2015,12,Om Shanti Baba,956,0.60%,Bharatiya Ekta Dal,Narkatiaganj,3,0.60
2015,13,Mukhtar Miyan,799,0.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Narkatiaganj,3,0.50
2015,14,Vinay Sah,725,0.50%,Independent,Narkatiaganj,3,0.50
2015,15,Meraj Ahmad,432,0.30%,Janta Dal Rashtravadi,Narkatiaganj,3,0.30
2015,16,Nathu Ravi,399,0.30%,Bahujan Mukti Party,Narkatiaganj,3,0.30
2015,1,Raghaw Sharan Pandey,74476,44.50%,Bharatiya Janta Party,Bagaha,4,44.50
2015,2,Bhishm Sahani,66293,39.60%,Janata Dal (United),Bagaha,4,39.60
2015,3,Md. Kamran Aziz,8292,5.00%,Bahujan Samaj Party,Bagaha,4,5.00
2015,4,Saket Kumar Pathak,2507,1.50%,Independent,Bagaha,4,1.50
2015,5,Shesh Nath Chaudhary,2463,1.50%,Independent,Bagaha,4,1.50
2015,6,Md. Akbar Khan,2355,1.40%,Jan Adhikar Party (Loktantrik),Bagaha,4,1.40
2015,7,Pashupatinath Gupta,1874,1.10%,Independent,Bagaha,4,1.10
2015,8,Binod Yadav,1493,0.90%,Independent,Bagaha,4,0.90
2015,9,Arun Kumar Pathak,1031,0.60%,Shiv Sena,Bagaha,4,0.60
2015,10,Bhole Nath Yadav,879,0.50%,Independent,Bagaha,4,0.50
2015,11,Bhikhari Prasad,774,0.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Bagaha,4,0.50
2015,12,Atul Kumar Shukla,743,0.40%,Independent,Bagaha,4,0.40
2015,13,Radheshyam Yadav,660,0.40%,Independent,Bagaha,4,0.40
2015,14,Majister Yadav,486,0.30%,Samajwadi Party,Bagaha,4,0.30
2015,15,Amar Chaudhary,482,0.30%,Jharkhand Mukti Morcha,Bagaha,4,0.30
2015,1,Vinay Bihari,57351,40.50%,Bharatiya Janta Party,Lauriya,5,40.50
2015,2,Ran Kaushal Pratap Singh,39778,28.10%,Rashtriya Janata Dal,Lauriya,5,28.10
2015,3,Shambhu Tiwari,20793,14.70%,Independent,Lauriya,5,14.70
2015,4,Sunil Kumar,8994,6.40%,Bahujan Samaj Party,Lauriya,5,6.40
2015,5,Pradeep Singh,3195,2.30%,Nationalist Congress Party,Lauriya,5,2.30
2015,6,Santosh Kumar Rai,2280,1.60%,Independent,Lauriya,5,1.60
2015,7,Navin Kumar,1908,1.40%,Independent,Lauriya,5,1.40
2015,8,Ram Babu Kumar Sankritya,1729,1.20%,Communist Party Of India,Lauriya,5,1.20
2015,9,Umesh Yadav,1140,0.80%,Rashtriya Jankranti Party,Lauriya,5,0.80
2015,10,Ajay Kumar Thakur,1126,0.80%,Shiv Sena,Lauriya,5,0.80
2015,11,Raju Ram,953,0.70%,Sarvajan Kalyan Loktantrik Party,Lauriya,5,0.70
2015,1,Narayan Prasad,66697,44.40%,Bharatiya Janta Party,Nautan,6,44.40
2015,2,Baidyanath Prasad Mahto,52362,34.80%,Janata Dal (United),Nautan,6,34.80
2015,3,Raj Kumar Prasad,4287,2.90%,Independent,Nautan,6,2.90
2015,4,Gallu Chaudhari,4242,2.80%,Communist Party Of India,Nautan,6,2.80
2015,5,Santosh Chaudhary,3995,2.70%,Independent,Nautan,6,2.70
2015,6,Shailesh Kushawaha,3873,2.60%,Bahujan Samaj Party,Nautan,6,2.60
2015,7,Punyadev Prasad,2949,2.00%,Independent,Nautan,6,2.00
2015,8,Nawal Kishor Pathak,2231,1.50%,Shiv Sena,Nautan,6,1.50
2015,9,Ratan Kumar Sarkar,1452,1.00%,Independent,Nautan,6,1.00
2015,10,Sanjay Kumar Kushwaha,1384,0.90%,Samajwadi Party,Nautan,6,0.90
2015,11,Shankar Chaudhari,1108,0.70%,Garib Janta Dal (Secular),Nautan,6,0.70
2015,12,Radhakrishna Prasad,925,0.60%,Jharkhand Mukti Morcha,Nautan,6,0.60
2015,13,Priya Ranjan,906,0.60%,Independent,Nautan,6,0.60
2015,14,Islam,870,0.60%,Independent,Nautan,6,0.60
2015,15,Hamid Ali,660,0.40%,Rashtriya Jankranti Party,Nautan,6,0.40
2015,1,Prakash Rai,61304,39.00%,Bharatiya Janta Party,Chanpatia,7,39.00
2015,2,N. N. Sahi,60840,38.70%,Janata Dal (United),Chanpatia,7,38.70
2015,3,Om Prakash Kranti,10136,6.50%,Communist Party Of India,Chanpatia,7,6.50
2015,4,Manish Kumar Prasad,6446,4.10%,Independent,Chanpatia,7,4.10
2015,5,Basant Singh,5254,3.40%,Independent,Chanpatia,7,3.40
2015,6,Mohammad Jahangir,2546,1.60%,Bahujan Samaj Party,Chanpatia,7,1.60
2015,7,Mukti Nath Upadhyaya,2523,1.60%,Samajwadi Party,Chanpatia,7,1.60
2015,8,Shambhu Sharan Singh,1335,0.90%,Independent,Chanpatia,7,0.90
2015,9,Munna Singh,1307,0.80%,Independent,Chanpatia,7,0.80
2015,10,Latif Miyan,830,0.50%,Gareeb Aadmi Party,Chanpatia,7,0.50
2015,1,Madan Mohan Tiwari,66786,45.30%,Indian National Congress,Benipur,80,45.30
2015,2,Renu Devi,64466,43.70%,Bharatiya Janta Party,Benipur,80,43.70
2015,3,Sameer Hasan,2851,1.90%,Independent,Benipur,80,1.90
2015,4,Mohammad Saidullah,1628,1.10%,Communist Party Of India (MARXIST),Benipur,80,1.10
2015,5,Lakshmi Ram,1553,1.10%,Bahujan Samaj Party,Benipur,80,1.10
2015,6,Punydeo Prasad,1355,0.90%,Independent,Benipur,80,0.90
2015,7,Ramesh Chandra Sinha,1348,0.90%,Shiv Sena,Benipur,80,0.90
2015,8,Shambhu Prasad Gupta,1237,0.80%,Samajwadi Party,Benipur,80,0.80
2015,9,Poonam Singh Alias Poonam Singh Patel,1178,0.80%,Independent,Benipur,80,0.80
2015,10,Amar Kumar Kushawaha,717,0.50%,Independent,Benipur,80,0.50
2015,11,Arun Yadav,651,0.40%,Jan Adhikar Party (Loktantrik),Benipur,80,0.40
2015,12,Shrikanti Devi,590,0.40%,Rashtriya Jankranti Party,Benipur,80,0.40
2015,13,Rizwanullah,430,0.30%,Janta Dal Rashtravadi,Benipur,80,0.30
2015,14,Mohammad Firoj,328,0.20%,Garib Janta Dal (Secular),Benipur,80,0.20
2015,15,Arun Kumar Srivastava,312,0.20%,Sarvajan Kalyan Loktantrik Party,Benipur,80,0.20
2015,16,Kedar Prasad,215,0.20%,National Janta Party (Indian),Benipur,80,0.20
2015,1,Khurshid Urf Firoj Ahmad,69870,43.50%,Janata Dal (United),Sikta,9,43.50
2015,2,Dilip Varma,67035,41.70%,Bharatiya Janta Party,Sikta,9,41.70
2015,3,Birendra Prasad Gupta,5639,3.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Sikta,9,3.50
2015,4,Dhanesh Patel,4043,2.50%,Independent,Sikta,9,2.50
2015,5,Ajeet Kumar Urf Munna Singh,2551,1.60%,Independent,Sikta,9,1.60
2015,6,Vikram Bhaiya,1414,0.90%,Bahujan Samaj Party,Sikta,9,0.90
2015,7,Lalgurad Miyan,1347,0.80%,Independent,Sikta,9,0.80
2015,8,Aasma Khatoon,822,0.50%,Janta Dal Rashtravadi,Sikta,9,0.50
2015,9,Pramod Sah,804,0.50%,Independent,Sikta,9,0.50
2015,10,Dharmesh Prasad Varma,693,0.40%,Samajwadi Party,Sikta,9,0.40
2015,11,Gopal Dutta Jha,592,0.40%,Independent,Sikta,9,0.40
2015,12,Irshad Shekh,320,0.20%,Rashtriya Samanta Dal,Sikta,9,0.20
2015,1,Ajay Kumar Singh,64731,39.80%,Bharatiya Janta Party,Raxaul,10,39.80
2015,2,Suresh Kumar,61562,37.90%,Rashtriya Janata Dal,Raxaul,10,37.90
2015,3,Shyam Bihari Prasad,21697,13.40%,Independent,Raxaul,10,13.40
2015,4,Kapildev Ray,3073,1.90%,Samajwadi Party,Raxaul,10,1.90
2015,5,Parmanand Prasad,1952,1.20%,Garib Janta Dal (Secular),Raxaul,10,1.20
2015,6,Chandra Kishor Pal,1681,1.00%,Bahujan Samaj Party,Raxaul,10,1.00
2015,7,Mithilesh Yadav,1481,0.90%,Independent,Raxaul,10,0.90
2015,8,Dhurendra Kumar,1277,0.80%,Independent,Raxaul,10,0.80
2015,9,Dr Gautam Kumar,1205,0.70%,Independent,Raxaul,10,0.70
2015,10,Naiyar Alam,613,0.40%,Bhartiya Lokmat Rashtrwadi Party,Raxaul,10,0.40
2015,1,Ramchandra Sahni,62384,40.10%,Bharatiya Janta Party,Sugauli,11,40.10
2015,2,Om Prakash Choudhary,54628,35.10%,Rashtriya Janata Dal,Sugauli,11,35.10
2015,3,Shashi Bhushan Singh,15004,9.70%,Independent,Sugauli,11,9.70
2015,4,Ram Gopal,6950,4.50%,Independent,Sugauli,11,4.50
2015,5,Radha Mohan Singh,4335,2.80%,Communist Party Of India,Sugauli,11,2.80
2015,6,Madan Mohan Yadav,2666,1.70%,Communist Party Of India (MARXIST),Sugauli,11,1.70
2015,7,Md. Hasnain 'azad',1239,0.80%,Rashtriya Jankranti Party,Sugauli,11,0.80
2015,8,Anuranjan Jha,1177,0.80%,Independent,Sugauli,11,0.80
2015,9,Mohammad Eainullah,1059,0.70%,Independent,Sugauli,11,0.70
2015,10,Bairister Baitha,1020,0.70%,Independent,Sugauli,11,0.70
2015,11,Omprakash Gupta,770,0.50%,Bahujan Samaj Party,Sugauli,11,0.50
2015,12,Awadhesh Kumar,733,0.50%,Independent,Sugauli,11,0.50
2015,13,Anita Devi,617,0.40%,Independent,Sugauli,11,0.40
2015,14,Angad Chaudhary,390,0.30%,Independent,Sugauli,11,0.30
2015,1,Shamim Ahmad,75118,46.00%,Rashtriya Janata Dal,Narkatia,12,46.00
2015,2,Sant Singh Kushwaha,55136,33.70%,Rashtriya Lok Samta Party,Narkatia,12,33.70
2015,3,Sonu Kumar,12890,7.90%,Independent,Narkatia,12,7.90
2015,4,Sunil Kumar,2750,1.70%,Independent,Narkatia,12,1.70
2015,5,Dinesh Prasad,2177,1.30%,Communist Party Of India (Marxist-Leninist) (Liberation),Narkatia,12,1.30
2015,6,Anwar Alam Ansari,1991,1.20%,Bahujan Samaj Party,Narkatia,12,1.20
2015,7,Reeta Devi,969,0.60%,Independent,Narkatia,12,0.60
2015,8,Madan Prasad Yadav,968,0.60%,Samajwadi Party,Narkatia,12,0.60
2015,9,Shambhu Sharan Prasad,725,0.40%,Jammu & Kashmir National Panthers Party,Narkatia,12,0.40
2015,10,Rahul Kumar,659,0.40%,Independent,Narkatia,12,0.40
2015,11,Deepak Kumar,623,0.40%,Gareeb Aadmi Party,Narkatia,12,0.40
2015,12,Ashok Gupta,503,0.30%,Independent,Narkatia,12,0.30
2015,1,Rajendra Kumar,75203,49.90%,Rashtriya Janata Dal,Harsidhi,13,49.90
2015,2,Krishnandan Paswan,64936,43.10%,Bharatiya Janta Party,Harsidhi,13,43.10
2015,3,Vidya Sagar Arya,2867,1.90%,Communist Party Of India,Harsidhi,13,1.90
2015,4,Avdhesh Ram,2138,1.40%,Independent,Harsidhi,13,1.40
2015,5,Vindeshwari Ram,893,0.60%,Garib Janta Dal (Secular),Harsidhi,13,0.60
2015,6,Bindeshwari Ram,644,0.40%,Bahujan Samaj Party,Harsidhi,13,0.40
2015,7,Paramila Devi,523,0.40%,Jammu & Kashmir National Panthers Party,Harsidhi,13,0.40
2015,8,Abhishek Prakash,447,0.30%,Sarvajan Kalyan Loktantrik Party,Harsidhi,13,0.30
2015,1,Raju Tiwari,74685,54.50%,Lok Jan Shakti Party,Govindganj,14,54.50
2015,2,Brajesh Kumar,46765,34.20%,Indian National Congress,Govindganj,14,34.20
2015,3,Ganeshwar Tiwari,3058,2.20%,Shiv Sena,Govindganj,14,2.20
2015,4,Pankaj Kumar,2481,1.80%,Independent,Govindganj,14,1.80
2015,5,Ravindra Dubey,2376,1.70%,Bahujan Samaj Party,Govindganj,14,1.70
2015,6,Vijay Kumar,2092,1.50%,Independent,Govindganj,14,1.50
2015,7,Sanjay Kumar Mishra Alias Bablu Mishra,1083,0.80%,Aarakshan Virodhi Party,Govindganj,14,0.80
2015,8,Pappu Giri,946,0.70%,Jammu & Kashmir National Panthers Party,Govindganj,14,0.70
2015,1,Dr. Rajesh Kumar,62902,47.60%,Rashtriya Janata Dal,Kesaria,15,47.60
2015,2,Rajendra Prasad Gupta,46955,35.50%,Bharatiya Janta Party,Kesaria,15,35.50
2015,3,Ram Saran Prasad Yadav,11767,8.90%,Communist Party Of India,Kesaria,15,8.90
2015,4,Neeta Sharma,2617,2.00%,Independent,Kesaria,15,2.00
2015,5,Umesh Kumar Singh,1938,1.50%,Jan Adhikar Party (Loktantrik),Kesaria,15,1.50
2015,6,Atique Ahmad Khan,1838,1.40%,Samajwadi Party,Kesaria,15,1.40
2015,7,Awdhesh Kuwar,1794,1.40%,Bahujan Samaj Party,Kesaria,15,1.40
2015,1,Sachindra Prasad Singh,50060,36.90%,Bharatiya Janta Party,Kalyanpur,16,36.90
2015,2,Razia Khatoon,38572,28.50%,Janata Dal (United),Kalyanpur,16,28.50
2015,3,Manoj Kumar Yadav,26430,19.50%,Samajwadi Party,Kalyanpur,16,19.50
2015,4,Ramayan Singh,4657,3.40%,Communist Party Of India,Kalyanpur,16,3.40
2015,5,Pintu Rani,3341,2.50%,Independent,Kalyanpur,16,2.50
2015,6,Umesh Kumar Singh,2243,1.70%,Independent,Kalyanpur,16,1.70
2015,7,Suresh Mukhiya,1793,1.30%,Bahujan Samaj Party,Kalyanpur,16,1.30
2015,8,Mahtab Alam,1454,1.10%,Aam Janata Party,Kalyanpur,16,1.10
2015,9,Brajesh Ojha,1393,1.00%,Sarvajan Kalyan Loktantrik Party,Kalyanpur,16,1.00
2015,10,Pramod Giri,1320,1.00%,Garib Janta Dal (Secular),Kalyanpur,16,1.00
2015,1,Shyambabu Prasad Yadav,65552,38.00%,Bharatiya Janta Party,Pipra,17,38.00
2015,2,Krishan Chandra,61622,35.70%,Janata Dal (United),Pipra,17,35.70
2015,3,Raj Mangal Prasad,8366,4.90%,Communist Party Of India (MARXIST),Pipra,17,4.90
2015,4,Arun Kumar,7266,4.20%,Independent,Pipra,17,4.20
2015,5,Parshuram Pandey,6139,3.60%,Independent,Pipra,17,3.60
2015,6,Subhash Chandra Gupta,3479,2.00%,Nationalist Congress Party,Pipra,17,2.00
2015,7,Vikram Kumar,3126,1.80%,Independent,Pipra,17,1.80
2015,8,Sadhu Yadav,2604,1.50%,Garib Janta Dal (Secular),Pipra,17,1.50
2015,9,Nagendra Sahani,1847,1.10%,Bahujan Samaj Party,Pipra,17,1.10
2015,10,Ramayan Paswan,1661,1.00%,Bahujan Kranti Party (Marxwad-Ambedkarwad),Pipra,17,1.00
2015,11,Ramadhar Sah,1613,0.90%,Sarvajan Kalyan Loktantrik Party,Pipra,17,0.90
2015,12,Bhagya Narayan Prasad Yadav,1560,0.90%,Samajwadi Party,Pipra,17,0.90
2015,13,Pavan Kumar Ray,1542,0.90%,Jan Adhikar Party (Loktantrik),Pipra,17,0.90
2015,14,Ankush Kumar Singh,1398,0.80%,Rashtravadi Janata Party,Pipra,17,0.80
2015,15,Daroga Sah,1344,0.80%,Independent,Pipra,17,0.80
2015,16,Uday Kumar Kushwaha,1274,0.70%,Independent,Pipra,17,0.70
2015,17,Naresh Prasad Sah,649,0.40%,Akhil Bharatiya Hind Kranti Party,Pipra,17,0.40
2015,1,Rana Randhir,61054,43.90%,Bharatiya Janta Party,Madhuban,18,43.90
2015,2,Shivajee Rai,44832,32.30%,Janata Dal (United),Madhuban,18,32.30
2015,3,Santosh Kumar Madhukar,12366,8.90%,Bahujan Samaj Party,Madhuban,18,8.90
2015,4,Bhagwan Sah,4882,3.50%,Jan Adhikar Party (Loktantrik),Madhuban,18,3.50
2015,5,Syead Mohammad Imam,2837,2.00%,Independent,Madhuban,18,2.00
2015,6,Dinesh Prasad,2075,1.50%,Independent,Madhuban,18,1.50
2015,7,Rahul Kumar,1746,1.30%,Independent,Madhuban,18,1.30
2015,8,Shashi Ranjan Kumar,1658,1.20%,Shiv Sena,Madhuban,18,1.20
2015,9,Sudhir Kumar Singh,1176,0.90%,Communist Party Of India,Madhuban,18,0.90
2015,10,Jagdish Prasad,614,0.40%,Bajjikanchal Vikas Party,Madhuban,18,0.40
2015,11,Amjad Kamal,573,0.40%,Samajwadi Party,Madhuban,18,0.40
2015,12,Chandirka Ray,455,0.30%,Jharkhand Mukti Morcha,Madhuban,18,0.30
2015,1,Pramod Kumar,79947,47.50%,Bharatiya Janta Party,Motihari,19,47.50
2015,2,Binod Kumar Shrivastava,61430,36.50%,Rashtriya Janata Dal,Motihari,19,36.50
2015,3,Manoj Kumar,7619,4.50%,Independent,Motihari,19,4.50
2015,4,Ravi Bhushan Prasad,6369,3.80%,Bahujan Samaj Party,Motihari,19,3.80
2015,5,Harishchandra Pandit,2956,1.80%,Aap Aur Hum Party,Motihari,19,1.80
2015,6,Arvind Kumar,2242,1.30%,Communist Party Of India (MARXIST),Motihari,19,1.30
2015,7,Tribeni Tiwari,1905,1.10%,Communist Party Of India,Motihari,19,1.10
2015,8,Tafajjul Hussain,1570,0.90%,Independent,Motihari,19,0.90
2015,9,Bikrama Singh,976,0.60%,Sarvajan Kalyan Loktantrik Party,Motihari,19,0.60
2015,10,Neetu Singh Kushwaha,890,0.50%,Jan Adhikar Party (Loktantrik),Motihari,19,0.50
2015,1,Lal Babu Prasad Gupta,62831,42.40%,Bharatiya Janta Party,Chiraia,20,42.40
2015,2,Laxmi Narayan Prasad Yadav,58457,39.50%,Rashtriya Janata Dal,Chiraia,20,39.50
2015,3,Avaneesh Kumar Singh,12172,8.20%,Samajwadi Party,Chiraia,20,8.20
2015,4,Om Prakash,4531,3.10%,Bahujan Samaj Party,Chiraia,20,3.10
2015,5,Hiralal Ray,1754,1.20%,Independent,Chiraia,20,1.20
2015,6,Arun Singh,1559,1.10%,Jan Adhikar Party (Loktantrik),Chiraia,20,1.10
2015,7,Satrudhan Singh,1327,0.90%,Independent,Chiraia,20,0.90
2015,8,Ranjit Sah,805,0.50%,Independent,Chiraia,20,0.50
2015,9,Harendra Prasad Yadav,618,0.40%,Garib Janta Dal (Secular),Chiraia,20,0.40
2015,10,Imtiyazul Haque,608,0.40%,Independent,Chiraia,20,0.40
2015,11,Dilip Kumar,516,0.40%,Independent,Chiraia,20,0.40
2015,12,Vishal Sinha,486,0.30%,Sarvajan Kalyan Loktantrik Party,Chiraia,20,0.30
2015,1,Faisal Rahman,87458,47.00%,Rashtriya Janata Dal,Dhaka,21,47.00
2015,2,Pawan Kumar Jaiswal,68261,36.70%,Bharatiya Janta Party,Dhaka,21,36.70
2015,3,Ram Pukar Sinha,20160,10.80%,Independent,Dhaka,21,10.80
2015,4,Nek Mohammad,1868,1.00%,Nationalist Congress Party,Dhaka,21,1.00
2015,5,Manjur Ahmad,1637,0.90%,Independent,Dhaka,21,0.90
2015,6,Ramkrit Paswan,1434,0.80%,Bahujan Samaj Party,Dhaka,21,0.80
2015,7,Veerchandra Prasad,985,0.50%,Rashtriya Pragati Party,Dhaka,21,0.50
2015,8,Prabhu Narain,952,0.50%,Independent,Dhaka,21,0.50
2015,9,Mohmmad Alam,480,0.30%,Garib Janta Dal (Secular),Dhaka,21,0.30
2015,10,Anil Kumar Mehata,431,0.20%,Independent,Dhaka,21,0.20
2015,1,Sharfuddin,44576,29.70%,Janata Dal (United),Sheohar,22,29.70
2015,2,Labhali Anand,44115,29.40%,Hindustani Awam Morcha (Secular),Sheohar,22,29.40
2015,3,Thakur Ratnakar,22309,14.90%,Independent,Sheohar,22,14.90
2015,4,Ajit Kumar Jha,15891,10.60%,Samajwadi Party,Sheohar,22,10.60
2015,5,Manoj Kumar,3684,2.50%,Socialist Party (India),Sheohar,22,2.50
2015,6,Manoj Upadhyay,3418,2.30%,Independent,Sheohar,22,2.30
2015,7,Mo Imamudin,2906,1.90%,Bahujan Samaj Party,Sheohar,22,1.90
2015,8,Sanjay Kumar,2834,1.90%,Independent,Sheohar,22,1.90
2015,9,Quamruzzama,2370,1.60%,Garib Janta Dal (Secular),Sheohar,22,1.60
2015,10,Manisha Devi,2028,1.40%,Independent,Sheohar,22,1.40
2015,11,Akhilesh Kumar Singh,1535,1.00%,All India Forward Bloc,Sheohar,22,1.00
2015,1,Amit Kumar,79217,49.00%,Indian National Congress,Riga,23,49.00
2015,2,Moti Lal Prasad,56361,34.80%,Bharatiya Janta Party,Riga,23,34.80
2015,3,Atul Bihari Mishra,4262,2.60%,Communist Party Of India,Riga,23,2.60
2015,4,Braj Mohan Kumar,3358,2.10%,Independent,Riga,23,2.10
2015,5,Priyatam Paswan,2743,1.70%,Independent,Riga,23,1.70
2015,6,Umesh Sah,2635,1.60%,Bahujan Samaj Party,Riga,23,1.60
2015,7,Sada Babu Singh,2613,1.60%,Independent,Riga,23,1.60
2015,8,Rambabu Sah,1488,0.90%,Nationalist Congress Party,Riga,23,0.90
2015,9,Devdhari Nishad,1305,0.80%,Independent,Riga,23,0.80
2015,10,Thakur Chandan Kumar Singh,1240,0.80%,Independent,Riga,23,0.80
2015,11,Randhir Kumar,1009,0.60%,Independent,Riga,23,0.60
2015,12,Tajuddin Haidar Khan,974,0.60%,Samajwadi Party,Riga,23,0.60
2015,13,Md. Abbas Sekh,796,0.50%,Independent,Riga,23,0.50
2015,14,Ram Naresh Sah,636,0.40%,Garib Janta Dal (Secular),Riga,23,0.40
2015,15,Rajan Kumar,570,0.40%,Rajnaitik Vikalp Party,Riga,23,0.40
2015,16,Gonaur Das,555,0.30%,Loktantrik Sarvjan Samaj Party,Riga,23,0.30
2015,17,Ram Vilas Baitha,500,0.30%,Proutist Bloc India,Riga,23,0.30
2015,18,Prem Ranjan Kumar Singh,401,0.30%,Bhartiya Jan Hitkari Party,Riga,23,0.30
2015,1,Dinkar Ram,74763,49.10%,Bharatiya Janta Party,Baruraj,96,49.10
2015,2,Surendra Ram,54597,35.90%,Indian National Congress,Baruraj,96,35.90
2015,3,Deeplal Paswan Baghela,4318,2.80%,Independent,Baruraj,96,2.80
2015,4,Subodh Ram,3099,2.00%,Rashtravadi Janata Party,Baruraj,96,2.00
2015,5,Manoj Ram,2273,1.50%,Bahujan Samaj Party,Baruraj,96,1.50
2015,6,Sadhu Sharan Das,2151,1.40%,Independent,Baruraj,96,1.40
2015,7,Indal Paswan,1763,1.20%,Bahujan Mukti Party,Baruraj,96,1.20
2015,8,Ramchandra Paswan,1131,0.70%,Samajwadi Party,Baruraj,96,0.70
2015,9,Bhola Ram,877,0.60%,Sarvajan Kalyan Loktantrik Party,Baruraj,96,0.60
2015,10,Umesh Ram,783,0.50%,National Janta Party (Indian),Baruraj,96,0.50
2015,11,Raghvendra Kumar,778,0.50%,Rashtriya Mahan Gantantra Party,Baruraj,96,0.50
2015,12,Kapil Deo Paswan,672,0.40%,Janta Dal Rashtravadi,Baruraj,96,0.40
2015,1,Gaytri Devi,66388,40.70%,Bharatiya Janta Party,Parihar,25,40.70
2015,2,Ram Chandra Purve,62371,38.30%,Rashtriya Janata Dal,Parihar,25,38.30
2015,3,Sarita Yadav,8005,4.90%,Jan Adhikar Party (Loktantrik),Parihar,25,4.90
2015,4,Nilam Yadav,6794,4.20%,Bahujan Samaj Party,Parihar,25,4.20
2015,5,Mohd. Shams Shahnawaz,2822,1.70%,Samajwadi Party,Parihar,25,1.70
2015,6,Devendra Thakur,2631,1.60%,Independent,Parihar,25,1.60
2015,7,Md. Nazamuddin Ansari,2405,1.50%,Communist Party Of India,Parihar,25,1.50
2015,8,Jai Narayan Mahto,1773,1.10%,Independent,Parihar,25,1.10
2015,9,Gopal Kumar,1393,0.90%,Rashtravadi Janata Party,Parihar,25,0.90
2015,10,Surendra Prasad Gupta,1294,0.80%,Independent,Parihar,25,0.80
2015,11,Md. Majibul Rahman,1099,0.70%,Janta Dal Rashtravadi,Parihar,25,0.70
2015,12,Sogarth Paswan,1081,0.70%,Proutist Bloc India,Parihar,25,0.70
2015,13,Md. Mustafa,733,0.50%,Socialist Party (India),Parihar,25,0.50
2015,14,Md. Asphak,635,0.40%,Loktantrik Sarvjan Samaj Party,Parihar,25,0.40
2015,1,Syed Abu Dojana,52857,33.70%,Rashtriya Janata Dal,Sursand,26,33.70
2015,2,Amit Kumar,29623,18.90%,Independent,Sursand,26,18.90
2015,3,Pappu Kumar Chaudhary,15662,10.00%,Independent,Sursand,26,10.00
